               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.019614,           0.0097023,           0.0023378,             0.93681,             0.87043,             0.91128,             0.74976,            0.013129,            0.003694,           0.0072884,            0.002278,            0.002278,            0.002278
                  80,            0.018786,           0.0094097,           0.0019118,             0.92079,             0.86608,             0.90573,             0.74276,            0.013429,           0.0037991,           0.0079541,            0.002179,            0.002179,            0.002179
                  81,            0.018859,           0.0093401,           0.0015206,             0.93516,              0.8697,             0.91203,             0.74728,            0.013228,           0.0037636,           0.0090624,             0.00208,             0.00208,             0.00208
                  82,            0.018877,           0.0094731,            0.001756,             0.94591,             0.86205,             0.90867,              0.7425,            0.012884,           0.0037768,           0.0078115,            0.001981,            0.001981,            0.001981
                  83,            0.018424,           0.0094314,             0.00182,             0.94504,             0.86358,             0.91209,             0.74605,            0.013016,           0.0037641,           0.0072519,            0.001882,            0.001882,            0.001882
                  84,            0.018356,           0.0093846,           0.0018247,             0.94802,             0.85446,             0.90675,             0.74312,            0.013006,           0.0037828,           0.0072976,            0.001783,            0.001783,            0.001783
                  85,               0.018,            0.009261,           0.0013541,             0.94665,             0.86049,              0.9121,             0.74765,            0.012965,           0.0038099,            0.007673,            0.001684,            0.001684,            0.001684
                  86,            0.017806,           0.0094063,            0.001768,             0.92123,             0.87533,             0.90892,             0.74693,            0.013002,            0.003829,           0.0082971,            0.001585,            0.001585,            0.001585
                  87,            0.017791,           0.0091401,           0.0012031,             0.94161,             0.86755,             0.90413,              0.7477,            0.012823,           0.0038168,           0.0080081,            0.001486,            0.001486,            0.001486
                  88,            0.017693,           0.0091245,           0.0014234,             0.94879,             0.87523,             0.90938,             0.74918,            0.013013,           0.0038352,           0.0082965,            0.001387,            0.001387,            0.001387
                  89,            0.017513,           0.0091502,           0.0012911,             0.94663,             0.87103,             0.91067,             0.75258,             0.01306,           0.0038469,           0.0081879,            0.001288,            0.001288,            0.001288
                  90,            0.017873,           0.0090361,           0.0014937,             0.94639,              0.8674,             0.91426,             0.75171,            0.012881,           0.0038291,           0.0076756,            0.001189,            0.001189,            0.001189
                  91,             0.01721,           0.0091404,           0.0013864,             0.93076,             0.87816,             0.91403,              0.7576,            0.012774,           0.0037521,            0.007194,             0.00109,             0.00109,             0.00109
                  92,            0.017155,           0.0090863,           0.0012193,             0.92378,             0.88341,             0.91588,             0.75845,            0.012898,           0.0037618,           0.0079854,            0.000991,            0.000991,            0.000991
                  93,            0.017684,           0.0092502,           0.0014532,             0.93299,             0.87707,             0.91004,              0.7548,             0.01302,           0.0037501,           0.0082764,            0.000892,            0.000892,            0.000892
                  94,            0.017636,           0.0092952,           0.0015722,              0.9318,             0.88217,             0.91438,             0.75848,            0.012896,           0.0037451,           0.0083372,            0.000793,            0.000793,            0.000793
                  95,             0.01697,           0.0090137,            0.001327,             0.95228,             0.86821,             0.91423,             0.75988,            0.012863,           0.0037361,           0.0083958,            0.000694,            0.000694,            0.000694
                  96,            0.016983,           0.0088962,            0.001381,             0.94596,             0.86359,             0.91132,             0.76024,            0.012861,           0.0037322,           0.0082799,            0.000595,            0.000595,            0.000595
                  97,            0.016698,           0.0088986,           0.0008832,             0.93626,             0.86112,             0.91064,             0.75602,            0.012837,           0.0036999,           0.0081967,            0.000496,            0.000496,            0.000496
                  98,            0.016205,           0.0088244,           0.0012064,             0.92959,             0.86812,             0.91128,             0.75744,            0.012859,           0.0037137,           0.0081794,            0.000397,            0.000397,            0.000397
                  99,             0.01667,           0.0089003,           0.0010645,             0.92818,             0.87451,             0.91214,             0.76016,            0.012812,           0.0037505,           0.0081272,            0.000298,            0.000298,            0.000298
